AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ,Degrees
0.17,-0.11,-0.98,-0.02,0.01,-0.01,78.0
0.19,-0.1,-0.98,-0.01,0.01,-0.01,78.0
0.2,-0.12,-0.98,0.01,-0.0,-0.0,77.0
0.2,-0.11,-0.97,0.01,-0.0,0.01,77.0
0.2,-0.12,-0.97,-0.01,-0.01,0.01,76.0
0.19,-0.12,-0.97,-0.01,-0.01,0.01,77.0
0.2,-0.1,-0.97,0.01,0.01,0.0,77.0
0.2,-0.09,-0.97,0.01,0.02,0.0,77.0
0.19,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.19,-0.11,-0.97,-0.0,0.0,0.0,77.0
0.19,-0.11,-0.97,-0.0,0.0,0.0,77.0
0.19,-0.1,-0.97,-0.01,0.0,-0.0,78.0
0.19,-0.11,-0.98,-0.0,0.0,-0.0,77.0
0.23,-0.12,-0.97,0.03,-0.01,0.0,75.0
0.43,-0.15,-1.01,0.24,-0.04,-0.04,66.0
0.43,-0.15,-1.01,0.24,-0.04,-0.04,66.0
0.22,-0.07,-0.98,0.02,0.04,-0.01,77.0
0.18,-0.11,-0.97,-0.01,0.0,0.01,78.0
0.19,-0.09,-0.97,0.0,0.01,0.01,78.0
0.44,-0.16,-1.01,0.25,-0.05,-0.03,65.0
0.44,-0.16,-1.01,0.25,-0.05,-0.03,65.0
0.25,-0.08,-0.99,0.06,0.03,-0.01,75.0
0.17,-0.11,-0.96,-0.03,-0.0,0.02,78.0
0.2,-0.1,-0.97,0.0,0.01,0.01,77.0
0.2,-0.11,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.11,-0.97,0.01,-0.0,0.0,77.0
0.19,-0.11,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.19,-0.1,-0.97,0.0,0.01,0.01,78.0
0.2,-0.11,-0.98,0.0,-0.0,-0.0,77.0
0.2,-0.11,-0.98,0.0,-0.0,-0.0,77.0
0.2,-0.11,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.2,-0.1,-0.98,0.0,0.01,-0.0,77.0
0.2,-0.1,-0.98,0.0,0.01,-0.0,77.0
0.2,-0.1,-0.97,0.01,0.01,0.0,77.0
0.19,-0.11,-0.97,-0.01,-0.0,0.01,77.0
0.19,-0.1,-0.97,-0.01,0.01,0.0,78.0
0.21,-0.11,-0.97,0.01,-0.0,0.0,76.0
0.21,-0.11,-0.97,0.01,-0.0,0.0,76.0
0.21,-0.09,-0.97,0.01,0.02,0.0,77.0
0.21,-0.09,-0.97,0.01,0.02,0.0,77.0
0.21,-0.09,-0.98,-0.02,-0.02,0.0,77.0
0.19,-0.1,-0.97,-0.0,0.0,0.0,78.0
0.19,-0.1,-0.97,-0.0,0.0,0.0,78.0
0.21,-0.09,-0.97,0.01,0.02,0.0,77.0
0.18,-0.12,-0.97,-0.0,-0.0,0.0,77.0
0.18,-0.12,-0.97,0.01,-0.0,0.0,77.0
0.21,-0.09,-0.97,0.02,0.02,0.0,77.0
0.21,-0.09,-0.97,0.02,0.02,0.0,77.0
0.19,-0.11,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.19,-0.1,-0.98,-0.0,0.0,-0.0,78.0
0.19,-0.11,-0.98,-0.01,-0.0,-0.0,77.0
0.19,-0.11,-0.98,-0.01,-0.0,-0.0,77.0
0.2,-0.1,-0.97,0.01,0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,0.0,0.0,77.0
0.19,-0.1,-0.98,-0.0,0.0,-0.0,78.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.19,-0.1,-0.97,-0.0,0.0,0.01,78.0
0.19,-0.11,-0.97,-0.0,0.0,0.01,77.0
0.19,-0.11,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.98,0.0,0.0,0.0,77.0
0.2,-0.1,-0.98,0.0,-0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.24,-0.05,-0.99,0.04,0.05,-0.02,76.0
0.19,-0.11,-0.97,-0.0,-0.0,0.01,77.0
0.19,-0.11,-0.97,-0.0,-0.0,0.01,77.0
0.18,-0.11,-0.97,-0.01,-0.01,0.01,78.0
0.18,-0.11,-0.97,-0.01,-0.01,0.01,78.0
0.19,-0.1,-0.97,-0.0,0.0,0.01,78.0
0.19,-0.1,-0.97,-0.01,0.0,0.0,78.0
0.18,-0.11,-0.97,-0.01,-0.01,0.0,78.0
0.21,-0.11,-0.97,0.01,-0.0,0.01,76.0
0.21,-0.09,-0.97,0.01,-0.0,0.01,77.0
0.21,-0.09,-0.97,-0.0,-0.01,0.01,77.0
0.19,-0.1,-0.97,-0.0,0.01,0.01,78.0
0.2,-0.11,-0.97,0.0,-0.0,0.01,77.0
0.2,-0.1,-0.98,0.0,0.0,-0.0,77.0
0.2,-0.1,-0.98,0.0,0.0,-0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.11,-0.98,-0.0,-0.0,-0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.01,0.01,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.19,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.18,-0.12,-0.96,-0.01,-0.02,0.01,77.0
0.22,-0.08,-0.98,0.03,0.02,-0.0,77.0
0.19,-0.1,-0.97,-0.0,-0.0,0.01,78.0
0.19,-0.1,-0.97,-0.01,-0.0,0.01,78.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.01,0.01,77.0
0.19,-0.1,-0.98,-0.01,0.0,-0.0,78.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.19,-0.1,-0.97,-0.0,0.0,0.01,78.0
0.19,-0.1,-0.97,-0.01,0.0,0.0,78.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.19,-0.1,-0.97,0.0,-0.0,0.0,78.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,0.01,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,0.0,0.01,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.01,77.0
0.2,-0.11,-0.97,-0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,-0.0,0.0,77.0
0.19,-0.1,-0.97,-0.0,-0.0,0.01,78.0
0.2,-0.1,-0.97,-0.0,-0.0,0.01,77.0
0.2,-0.11,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.01,77.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.1,-0.98,0.01,-0.0,-0.0,77.0
0.2,-0.1,-0.98,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.19,-0.1,-0.97,-0.0,-0.0,0.0,78.0
0.2,-0.09,-0.97,0.0,0.01,0.01,77.0
0.19,-0.1,-0.97,-0.0,0.0,0.0,78.0
0.19,-0.1,-0.98,-0.0,0.0,-0.0,78.0
0.2,-0.1,-0.98,-0.0,-0.0,-0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.01,77.0
0.2,-0.1,-0.97,-0.0,-0.0,0.01,77.0
0.2,-0.1,-0.98,-0.0,-0.0,-0.0,77.0
0.2,-0.1,-0.98,-0.0,-0.0,-0.0,77.0
0.2,-0.1,-0.97,0.01,-0.0,0.0,77.0
0.2,-0.09,-0.97,0.0,0.01,0.01,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.01,0.0,0.0,77.0
0.2,-0.09,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.19,-0.1,-0.97,-0.0,0.0,0.01,78.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.98,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.01,77.0
0.2,-0.1,-0.98,-0.0,-0.0,-0.0,77.0
0.2,-0.1,-0.98,0.0,-0.0,-0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.09,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.01,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.01,77.0
0.19,-0.1,-0.97,-0.0,0.0,0.0,78.0
0.2,-0.1,-0.98,-0.0,-0.0,0.0,77.0
0.2,-0.1,-0.98,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.01,77.0
0.2,-0.09,-0.97,0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.98,-0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
0.2,-0.1,-0.97,0.0,0.0,0.0,77.0
0.2,-0.1,-0.97,-0.0,0.0,0.01,77.0
0.2,-0.1,-0.97,0.0,-0.0,0.0,77.0
